course_id,learner_id,enrolment_id,enrol_date,expected_completion_date,actual_completion_date,status,progress_pct,last_activity_date,assessment_score,attempts,feedback_rating,certificate_issued,learning_duration_days,completion_delay_days,learner_name,email,phone_number,city,registration_date,subscription_type,course_title,category,instructor_id,instructor_name,duration_hours,difficulty_level,price_inr,days_since_last_activity,engagement_status
CRS060,LRN0298,ENR01644,2024-02-12,2024-03-13,2024-03-07,Completed,100,2024-03-07,46.14,1,3,No,24,-6,Sunita Agarwal,sunita.agarwal.298@rediffmail.com,9088019948,Hyderabad,2023-11-02,Premium,Bayesian Statistics,Data Science,INS006,Unknown,15,Intermediate,1231,864,Disengaged
CRS057,LRN0026,ENR00663,2024-03-17,2024-03-27,,In Progress,64,2024-03-21,,1,,No,,,Kavya Iyer,kavya.iyer.26@yahoo.com,9740164005,Surat,2022-09-26,Free,Microservices Architecture,Cloud Computing,INS006,Priya Singh,5,Beginner,604,850,Disengaged
CRS026,LRN0401,ENR00181,2024-02-21,2024-03-02,,Dropped,0,2024-03-04,,1,,No,,,Suresh Banerjee,suresh.banerjee.401@rediffmail.com,9621689363,Bengaluru,2023-03-13,Enterprise,Full Stack Django,Web Development,INS008,Kavita Reddy,5,Advanced,10918,867,Disengaged
CRS035,LRN0458,ENR01150,2024-02-17,2024-05-07,2024-03-31,Completed,100,2024-03-31,86.17,1,2,Yes,43,-37,Siddharth Pillai,siddharth.pillai.458@gmail.com,9627128639,Ahmedabad,2022-09-23,Free,React Native Cross-Platform,Mobile Development,INS002,Meera Nair,40,Beginner,66,840,Disengaged
CRS029,LRN0285,ENR00279,2024-02-10,2024-04-30,2024-02-21,Completed,100,2024-02-21,76.63,1,1,Yes,11,-69,Sunita Sharma,sunita.sharma.285@outlook.com,9332309821,Chandigarh,2023-10-29,Premium,Brand Identity Design,Design,INS010,Anjali Iyer,40,Intermediate,4998,879,Disengaged
CRS003,LRN0333,ENR00948,2024-03-13,2024-04-02,,Dropped,35,2024-03-19,,3,,No,,,Geeta Sharma,geeta.sharma.333@rediffmail.com,9302992280,Bengaluru,2022-02-27,Free,Deep Learning with TensorFlow,AI & ML,INS004,Sunita Rao,10,Advanced,13612,852,Disengaged
CRS026,LRN0274,ENR01301,2024-01-08,2024-01-18,,Dropped,2,2024-01-22,,1,,No,,,Ritika Agarwal,ritika.agarwal.274@hotmail.com,9657437489,Lucknow,2022-04-15,Free,Full Stack Django,Web Development,INS008,Kavita Reddy,5,Advanced,10918,909,Disengaged
CRS039,LRN0015,ENR00568,2024-01-06,2024-03-26,,Not Started,0,,,1,,No,,,Karan Jain,karan.jain.15@hotmail.com,9031051834,Hyderabad,2023-07-07,Free,Transformer Models & LLMs,AI & ML,INS008,Kavita Reddy,40,Advanced,12938,,Disengaged
CRS028,LRN0094,ENR01721,2024-01-05,2024-02-14,,In Progress,78,2024-03-09,,2,,No,,,Kavya Pandey,kavya.pandey.94@yahoo.com,9271111615,Jaipur,2022-03-03,Basic,Entrepreneurship 101,Business,INS006,Priya Singh,20,Beginner,394,862,Disengaged
CRS007,LRN0213,ENR01137,2024-02-25,2024-04-05,2024-03-31,Completed,100,2024-03-31,54.14,1,5,No,35,-5,Ishaan Das,ishaan.das.213@outlook.com,9309584982,Chandigarh,2022-10-27,Free,Business Analytics Essentials,Business,INS003,Arjun Patel,20,Advanced,10604,840,Disengaged
CRS002,LRN0219,ENR00319,2024-01-26,2024-02-15,2024-01-29,Completed,100,2024-01-29,65.92,1,2,Yes,3,-17,Rahul Gupta,rahul.gupta.219@gmail.com,9643611037,Bengaluru,2023-08-31,Free,Machine Learning Fundamentals,AI & ML,INS006,Priya Singh,10,Beginner,223,902,Disengaged
CRS005,LRN0384,ENR00730,2024-02-11,2024-03-22,,Not Started,0,,,1,,No,,,Preeti Agarwal,preeti.agarwal.384@hotmail.com,9195761228,Jaipur,2022-12-12,Premium,Node.js Backend Development,Web Development,INS007,Vikas Mehta,20,Beginner,119,,Disengaged
CRS042,LRN0318,ENR00387,2024-01-08,2024-01-18,,Dropped,35,2024-01-11,,1,,No,,,Aarav Shah,aarav.shah.318@outlook.com,9919015814,Lucknow,2022-03-30,Free,Operations Management,Business,INS001,Unknown,5,Advanced,6117,920,Disengaged
CRS004,LRN0085,ENR00370,2024-02-17,2024-04-17,,In Progress,44,2024-02-29,,1,5,No,,,Shalini Pandey,shalini.pandey.85@outlook.com,9869261796,Mumbai,2023-12-08,Basic,React.js Complete Guide,Web Development,INS014,Pooja Mishra,30,Advanced,6867,871,Disengaged
CRS052,LRN0444,ENR00268,2024-01-07,2024-03-27,,Dropped,19,2024-01-18,,1,,No,,,Ravi Yadav,ravi.yadav.444@hotmail.com,9269097384,Jaipur,2023-08-14,Basic,Svelte & SvelteKit,Web Development,INS005,Deepak Joshi,40,Intermediate,4129,913,Disengaged
CRS001,LRN0490,ENR00242,2024-03-15,2024-04-14,,Dropped,6,2024-03-15,,1,,No,,,Rahul Reddy,rahul.reddy.490@gmail.com,9410672752,Chandigarh,2023-07-14,Enterprise,Python for Data Science,Data Science,INS009,Suresh Gupta,15,Intermediate,2986,856,Disengaged
CRS048,LRN0285,ENR01343,2024-02-07,2024-02-17,2024-02-14,Completed,100,2024-02-14,97.55,1,4,Yes,7,-3,Sunita Sharma,sunita.sharma.285@outlook.com,9332309821,Chandigarh,2023-10-29,Premium,OSINT & Threat Intelligence,Cybersecurity,INS009,Suresh Gupta,5,Beginner,440,886,Disengaged
CRS033,LRN0492,ENR00737,2024-02-11,2024-03-22,,Dropped,18,2024-02-18,,1,,No,,,Ravi Singh,ravi.singh.492@gmail.com,9509398343,Delhi,2023-07-06,Premium,Penetration Testing,Cybersecurity,INS007,Vikas Mehta,20,Advanced,6392,882,Disengaged
CRS042,LRN0299,ENR00173,2024-01-05,2024-01-15,2024-01-08,Completed,100,2024-01-08,69.86,1,2,Yes,3,-7,Rohan Das,rohan.das.299@gmail.com,9375899757,Delhi,2023-11-06,Free,Operations Management,Business,INS001,Unknown,5,Advanced,6117,923,Disengaged
CRS008,LRN0103,ENR00488,2024-01-09,2024-03-29,2024-03-21,Completed,100,2024-03-21,93.39,1,2,Yes,72,-8,Nisha Srivastava,nisha.srivastava.103@outlook.com,9641605297,Delhi,2023-03-24,Premium,Project Management Professional,Business,INS003,Arjun Patel,40,Intermediate,4049,850,Disengaged
CRS002,LRN0422,ENR01607,2024-01-19,2024-02-08,,Dropped,22,2024-02-01,,1,,No,,,Shreya Iyer,shreya.iyer.422@gmail.com,9850155699,Bhopal,2022-06-29,Free,Machine Learning Fundamentals,AI & ML,INS006,Priya Singh,10,Beginner,223,899,Disengaged
CRS056,LRN0238,ENR00899,2024-02-29,2024-04-29,,In Progress,59,2024-03-09,,1,2,No,,,Divya Kapoor,divya.kapoor.238@gmail.com,9912127756,Jaipur,2023-01-02,Enterprise,NoSQL & MongoDB,Data Science,INS007,Vikas Mehta,30,Advanced,9660,862,Disengaged
CRS060,LRN0399,ENR01304,2024-03-16,2024-04-15,,Dropped,1,2024-03-26,,1,,No,,,Vijay Singh,vijay.singh.399@outlook.com,9238780038,Kolkata,2023-05-17,Basic,Bayesian Statistics,Data Science,INS006,Unknown,15,Intermediate,1231,845,Disengaged
CRS018,LRN0254,ENR01068,2024-01-26,2024-02-25,,Dropped,2,2024-02-01,,1,,No,,,Karan Pandey,karan.pandey.254@hotmail.com,9410067626,Pune,2022-12-26,Basic,Flutter App Development,Mobile Development,INS006,Priya Singh,15,Beginner,875,899,Disengaged
CRS057,LRN0135,ENR00977,2024-02-15,2024-02-25,,In Progress,41,2024-03-18,,2,,No,,,Nikhil Iyer,nikhil.iyer.135@rediffmail.com,9669125177,Kolkata,2022-05-12,Premium,Microservices Architecture,Cloud Computing,INS006,Priya Singh,5,Beginner,604,853,Disengaged
CRS048,LRN0077,ENR01009,2024-02-19,2024-02-29,,Dropped,24,2024-03-02,,1,,No,,,Kavya Verma,kavya.verma.77@rediffmail.com,9407482175,Chennai,2023-10-17,Enterprise,OSINT & Threat Intelligence,Cybersecurity,INS009,Suresh Gupta,5,Beginner,440,869,Disengaged
CRS053,LRN0431,ENR00411,2024-03-07,2024-05-26,,Dropped,20,2024-03-16,,1,,No,,,Shreya Pillai,shreya.pillai.431@hotmail.com,9587020701,Mumbai,2022-03-30,Basic,Supply Chain Management,Business,INS010,Anjali Iyer,40,Intermediate,3268,855,Disengaged
CRS055,LRN0334,ENR01074,2024-01-05,2024-01-15,,Dropped,16,,,1,2,No,,,Sunita Pillai,sunita.pillai.334@yahoo.com,9904137977,Hyderabad,2023-02-25,Basic,Motion UI Design,Design,INS009,Suresh Gupta,5,Intermediate,3026,,Disengaged
CRS025,LRN0071,ENR00166,2024-01-15,2024-02-24,2024-01-23,Completed,100,2024-01-23,61.78,1,3,Yes,8,-32,Vijay Srivastava,vijay.srivastava.71@outlook.com,9753396360,Chandigarh,2023-04-30,Premium,Vue.js & Nuxt Development,Web Development,INS004,Sunita Rao,20,Beginner,779,908,Disengaged
CRS037,LRN0478,ENR00141,2024-01-30,2024-03-10,,Dropped,17,2024-02-10,,1,,No,,,Aditya Gupta,aditya.gupta.478@hotmail.com,9780686717,Hyderabad,2022-03-27,Basic,Data Engineering with Spark,Data Science,INS004,Sunita Rao,20,Advanced,14534,890,Disengaged
CRS005,LRN0245,ENR00979,2024-01-24,2024-03-04,,In Progress,81,2024-02-07,,1,,No,,,Vijay Bose,vijay.bose.245@outlook.com,9065787598,Pune,2022-10-04,Free,Node.js Backend Development,Web Development,INS007,Vikas Mehta,20,Beginner,119,893,Disengaged
CRS051,LRN0412,ENR01146,2024-01-29,2024-04-18,,In Progress,76,2024-02-03,,1,,No,,,Amit Jain,amit.jain.412@rediffmail.com,9211175186,Lucknow,2022-06-13,Basic,MLOps & Model Deployment,AI & ML,INS015,Kiran Desai,40,Beginner,503,897,Disengaged
CRS042,LRN0010,ENR01701,2024-01-16,2024-01-26,,In Progress,63,,,2,,No,,,Aarav Desai,aarav.desai.10@gmail.com,9184514627,Chandigarh,2022-09-27,Enterprise,Operations Management,Business,INS001,Unknown,5,Advanced,6117,,Disengaged
CRS056,LRN0478,ENR00934,2024-01-27,2024-03-27,2024-03-31,Completed,100,2024-03-31,85.46,1,2,Yes,64,4,Aditya Gupta,aditya.gupta.478@hotmail.com,9780686717,Hyderabad,2022-03-27,Basic,NoSQL & MongoDB,Data Science,INS007,Vikas Mehta,30,Advanced,9660,840,Disengaged
CRS059,LRN0286,ENR01425,2024-03-02,2024-05-21,,Dropped,0,2024-03-03,,1,,No,,,Deepak Banerjee,deepak.banerjee.286@gmail.com,9489090100,Pune,2023-03-31,Basic,Wearable App Development,Mobile Development,INS001,Rajiv Sharma,40,Intermediate,1398,868,Disengaged
CRS047,LRN0085,ENR00222,2024-01-26,2024-03-26,2024-02-12,Completed,100,2024-02-12,78.32,1,5,Yes,17,-43,Shalini Pandey,shalini.pandey.85@outlook.com,9869261796,Mumbai,2023-12-08,Basic,Cloud Security Best Practices,Cybersecurity,INS008,Kavita Reddy,30,Intermediate,2407,888,Disengaged
CRS052,LRN0321,ENR00604,2024-03-08,2024-05-27,,In Progress,80,2024-03-31,,1,1,No,,,Ravi Mehta,ravi.mehta.321@gmail.com,9682223943,Bengaluru,2023-11-19,Premium,Svelte & SvelteKit,Web Development,INS005,Deepak Joshi,40,Intermediate,4129,840,Disengaged
CRS049,LRN0061,ENR00791,2024-01-31,2024-03-11,2024-03-09,Completed,100,2024-03-09,84.01,1,4,Yes,38,-2,Kavya Bose,kavya.bose.61@gmail.com,9936183242,Mumbai,2022-06-19,Premium,Unity Game Development,Mobile Development,INS007,Vikas Mehta,20,Intermediate,2541,862,Disengaged
CRS036,LRN0111,ENR00589,2024-02-01,2024-02-21,,Not Started,0,,,1,5,No,,,Karan Tiwari,karan.tiwari.111@rediffmail.com,9186449251,Surat,2022-05-25,Enterprise,Advanced Python OOP,Data Science,INS006,Priya Singh,10,Advanced,7011,,Disengaged
CRS042,LRN0018,ENR00922,2024-02-06,2024-02-16,2024-02-25,Completed,100,2024-02-25,76.27,2,1,Yes,19,9,Shalini Yadav,shalini.yadav.18@yahoo.com,9178108013,Pune,2023-05-13,Basic,Operations Management,Business,INS001,Unknown,5,Advanced,6117,875,Disengaged
CRS001,LRN0404,ENR01943,2024-02-23,2024-03-24,2024-03-31,Completed,100,,69.39,1,4,Yes,37,7,Amit Banerjee,amit.banerjee.404@yahoo.com,9664742312,Mumbai,2023-09-19,Basic,Python for Data Science,Data Science,INS009,Suresh Gupta,15,Intermediate,2986,,Disengaged
CRS034,LRN0192,ENR00172,2024-03-02,2024-03-22,,Dropped,30,2024-03-09,,1,,No,,,Simran Pillai,simran.pillai.192@rediffmail.com,9560466183,Jaipur,2022-06-23,Premium,Android Development Kotlin,Mobile Development,INS002,Meera Nair,10,Intermediate,3846,862,Disengaged
CRS008,LRN0463,ENR01495,2024-01-12,2024-04-01,2024-03-03,Completed,100,2024-03-03,57.1,1,1,No,51,-29,Vijay Shah,vijay.shah.463@gmail.com,9478700505,Pune,2022-05-02,Free,Project Management Professional,Business,INS003,Arjun Patel,40,Intermediate,4049,868,Disengaged
CRS052,LRN0259,ENR00132,2024-02-10,2024-04-30,,Dropped,16,2024-02-15,,3,,No,,,Ishaan Joshi,ishaan.joshi.259@gmail.com,9417146774,Surat,2023-07-12,Basic,Svelte & SvelteKit,Web Development,INS005,Deepak Joshi,40,Intermediate,4129,885,Disengaged
CRS021,LRN0258,ENR01715,2024-03-03,2024-03-23,2024-03-06,Completed,100,2024-03-06,69.67,1,1,Yes,3,-17,Sunita Rao,sunita.rao.258@rediffmail.com,9872050614,Ahmedabad,2022-07-24,Free,Power BI & Tableau,Data Science,INS005,Deepak Joshi,10,Advanced,6616,865,Disengaged
CRS026,LRN0140,ENR01571,2024-03-03,2024-03-13,2024-03-06,Completed,100,2024-03-06,45.35,1,2,No,3,-7,Shalini Singh,shalini.singh.140@yahoo.com,9027677359,Kolkata,2022-11-23,Premium,Full Stack Django,Web Development,INS008,Kavita Reddy,5,Advanced,10918,865,Disengaged
CRS046,LRN0371,ENR01860,2024-03-11,2024-04-20,2024-03-28,Completed,100,,70.6,3,1,Yes,17,-23,Neha Gupta,neha.gupta.371@gmail.com,9461872346,Delhi,2022-09-12,Basic,Terraform Infrastructure,Cloud Computing,INS013,Manish Verma,20,Beginner,300,,Disengaged
CRS053,LRN0401,ENR01615,2024-03-10,2024-05-29,,Dropped,35,2024-03-10,,1,,No,,,Suresh Banerjee,suresh.banerjee.401@rediffmail.com,9621689363,Bengaluru,2023-03-13,Enterprise,Supply Chain Management,Business,INS010,Anjali Iyer,40,Intermediate,3268,861,Disengaged
CRS037,LRN0124,ENR00447,2024-03-02,2024-04-11,,In Progress,51,2024-03-10,,1,,No,,,Sneha Kapoor,sneha.kapoor.124@hotmail.com,9952058527,Surat,2022-07-06,Premium,Data Engineering with Spark,Data Science,INS004,Sunita Rao,20,Advanced,14534,861,Disengaged
CRS003,LRN0105,ENR01003,2024-03-13,2024-04-02,2024-03-16,Completed,100,2024-03-16,63.57,1,3,Yes,3,-17,Ajay Iyer,ajay.iyer.105@yahoo.com,9355231243,Lucknow,2022-06-06,Premium,Deep Learning with TensorFlow,AI & ML,INS004,Sunita Rao,10,Advanced,13612,855,Disengaged
CRS047,LRN0178,ENR00620,2024-02-24,2024-04-24,2024-03-31,Completed,100,2024-03-31,93.2,2,2,Yes,36,-24,Mohit Verma,mohit.verma.178@yahoo.com,9175355609,Chandigarh,2022-05-30,Free,Cloud Security Best Practices,Cybersecurity,INS008,Kavita Reddy,30,Intermediate,2407,840,Disengaged
CRS032,LRN0494,ENR00073,2024-03-01,2024-03-11,2024-03-10,Completed,100,2024-03-10,77.19,1,5,Yes,9,-1,Ishaan Malhotra,ishaan.malhotra.494@rediffmail.com,9767426629,Delhi,2022-05-28,Free,DevOps CI/CD Pipeline,Cloud Computing,INS003,Arjun Patel,5,Advanced,6723,861,Disengaged
CRS001,LRN0353,ENR00434,2024-02-12,2024-03-13,2024-03-14,Completed,100,,88.74,2,5,Yes,31,1,Aarav Sharma,aarav.sharma.353@rediffmail.com,9369155942,Chennai,2022-08-31,Free,Python for Data Science,Data Science,INS009,Suresh Gupta,15,Intermediate,2986,,Disengaged
CRS054,LRN0098,ENR01281,2024-01-09,2024-02-18,2024-02-11,Completed,100,2024-02-11,52.88,2,1,No,33,-7,Sunita Singh,sunita.singh.98@yahoo.com,9201836675,Kolkata,2022-11-16,Premium,Product Management,Business,INS010,Anjali Iyer,20,Intermediate,4499,889,Disengaged
CRS057,LRN0025,ENR01612,2024-01-27,2024-02-06,2024-01-30,Completed,100,,55.48,1,2,No,3,-7,Sneha Banerjee,sneha.banerjee.25@yahoo.com,9241182449,Chandigarh,2022-12-18,Free,Microservices Architecture,Cloud Computing,INS006,Priya Singh,5,Beginner,604,,Disengaged
CRS011,LRN0368,ENR01628,2024-01-21,2024-01-31,,In Progress,47,2024-02-06,,1,,No,,,Ritika Chauhan,ritika.chauhan.368@hotmail.com,9846312241,Lucknow,2023-04-09,Free,Figma for Beginners,Design,INS012,Nisha Agarwal,5,Beginner,19,894,Disengaged
CRS031,LRN0096,ENR00890,2024-02-06,2024-02-16,,Dropped,3,,,1,,No,,,Neha Desai,neha.desai.96@yahoo.com,9731585149,Indore,2023-03-16,Premium,Docker & Kubernetes,Cloud Computing,INS004,Sunita Rao,5,Intermediate,3781,,Disengaged
CRS025,LRN0104,ENR01590,2024-02-14,2024-03-25,,In Progress,42,2024-02-16,,2,4,No,,,Pooja Agarwal,pooja.agarwal.104@yahoo.com,9968164535,Delhi,2023-06-07,Basic,Vue.js & Nuxt Development,Web Development,INS004,Sunita Rao,20,Beginner,779,884,Disengaged
CRS053,LRN0346,ENR00656,2024-03-02,2024-05-21,2024-03-31,Completed,100,2024-03-31,54.87,1,5,No,29,-51,Arjun Agarwal,arjun.agarwal.346@outlook.com,9818184518,Jaipur,2023-08-12,Free,Supply Chain Management,Business,INS010,Anjali Iyer,40,Intermediate,3268,840,Disengaged
CRS039,LRN0380,ENR00749,2024-02-15,2024-05-05,,Dropped,26,2024-02-20,,1,,No,,,Ananya Kumar,ananya.kumar.380@yahoo.com,9810220317,Delhi,2022-02-02,Basic,Transformer Models & LLMs,AI & ML,INS008,Kavita Reddy,40,Advanced,12938,880,Disengaged
CRS048,LRN0275,ENR01129,2024-01-31,2024-02-10,2024-02-17,Completed,100,2024-02-17,60.24,1,1,Yes,17,7,Manish Reddy,manish.reddy.275@outlook.com,9994417154,Bhopal,2022-10-11,Free,OSINT & Threat Intelligence,Cybersecurity,INS009,Suresh Gupta,5,Beginner,440,883,Disengaged
CRS047,LRN0079,ENR00316,2024-03-06,2024-05-05,2024-03-31,Completed,100,2024-03-31,87.17,2,2,Yes,25,-35,Aarav Rao,aarav.rao.79@rediffmail.com,9097439533,Chennai,2023-11-26,Premium,Cloud Security Best Practices,Cybersecurity,INS008,Kavita Reddy,30,Intermediate,2407,840,Disengaged
CRS034,LRN0409,ENR01395,2024-02-19,2024-03-10,,Not Started,0,,,1,,No,,,Pooja Iyer,pooja.iyer.409@hotmail.com,9860868034,Pune,2022-11-08,Premium,Android Development Kotlin,Mobile Development,INS002,Meera Nair,10,Intermediate,3846,,Disengaged
CRS042,LRN0115,ENR01342,2024-01-09,2024-01-19,2024-01-22,Completed,100,2024-01-22,69.15,1,4,Yes,13,3,Rahul Malhotra,rahul.malhotra.115@yahoo.com,9706537947,Jaipur,2022-09-02,Basic,Operations Management,Business,INS001,Unknown,5,Advanced,6117,909,Disengaged
CRS043,LRN0484,ENR00281,2024-01-01,2024-03-21,2024-01-04,Completed,100,2024-01-04,97.04,1,3,Yes,3,-77,Sachin Iyer,sachin.iyer.484@yahoo.com,9178847951,Ahmedabad,2022-03-31,Free,Leadership & Communication,Business,INS008,Kavita Reddy,40,Beginner,995,927,Disengaged
CRS004,LRN0497,ENR01331,2024-02-06,2024-04-06,2024-03-31,Completed,100,2024-03-31,97.46,1,2,Yes,54,-6,Aarav Patel,aarav.patel.497@gmail.com,9447146273,Delhi,2022-10-11,Basic,React.js Complete Guide,Web Development,INS014,Pooja Mishra,30,Advanced,6867,840,Disengaged
CRS001,LRN0036,ENR01493,2024-01-05,2024-02-04,,In Progress,63,,,2,2,No,,,Megha Iyer,megha.iyer.36@gmail.com,9951343320,Hyderabad,2023-05-02,Basic,Python for Data Science,Data Science,INS009,Suresh Gupta,15,Intermediate,2986,,Disengaged
CRS028,LRN0356,ENR00643,2024-02-21,2024-04-01,,In Progress,42,2024-03-07,,1,,No,,,Ajay Reddy,ajay.reddy.356@yahoo.com,9574489061,Mumbai,2022-08-09,Premium,Entrepreneurship 101,Business,INS006,Priya Singh,20,Beginner,394,864,Disengaged
CRS053,LRN0239,ENR01853,2024-03-08,2024-05-27,2024-03-31,Completed,100,2024-03-31,95.67,1,1,Yes,23,-57,Ishaan Verma,ishaan.verma.239@yahoo.com,9474112490,Bhopal,2022-12-02,Free,Supply Chain Management,Business,INS010,Anjali Iyer,40,Intermediate,3268,840,Disengaged
CRS035,LRN0322,ENR00198,2024-02-07,2024-04-27,,In Progress,37,2024-02-11,,2,,No,,,Preeti Verma,preeti.verma.322@outlook.com,9814141397,Kolkata,2022-05-12,Premium,React Native Cross-Platform,Mobile Development,INS002,Meera Nair,40,Beginner,66,889,Disengaged
CRS018,LRN0104,ENR00776,2024-01-07,2024-02-06,,Not Started,0,,,2,,No,,,Pooja Agarwal,pooja.agarwal.104@yahoo.com,9968164535,Delhi,2023-06-07,Basic,Flutter App Development,Mobile Development,INS006,Priya Singh,15,Beginner,875,,Disengaged
CRS001,LRN0115,ENR01260,2024-01-25,2024-02-24,2024-02-28,Completed,100,2024-02-28,51.6,1,5,No,34,4,Rahul Malhotra,rahul.malhotra.115@yahoo.com,9706537947,Jaipur,2022-09-02,Basic,Python for Data Science,Data Science,INS009,Suresh Gupta,15,Intermediate,2986,872,Disengaged
CRS046,LRN0045,ENR01433,2024-01-12,2024-02-21,,Dropped,14,2024-01-26,,3,4,No,,,Priya Nair,priya.nair.45@yahoo.com,9080531003,Bhopal,2022-01-21,Basic,Terraform Infrastructure,Cloud Computing,INS013,Manish Verma,20,Beginner,300,905,Disengaged
CRS037,LRN0129,ENR01575,2024-01-10,2024-02-19,,Dropped,4,2024-01-24,,1,,No,,,Rohan Singh,rohan.singh.129@yahoo.com,9658202970,Delhi,2022-08-30,Premium,Data Engineering with Spark,Data Science,INS004,Sunita Rao,20,Advanced,14534,907,Disengaged
CRS024,LRN0237,ENR01442,2024-02-12,2024-03-13,,In Progress,68,2024-02-19,,1,,No,,,Rekha Desai,rekha.desai.237@outlook.com,9234456557,Hyderabad,2022-03-18,Enterprise,Computer Vision,AI & ML,INS003,Arjun Patel,15,Intermediate,1877,881,Disengaged
CRS039,LRN0267,ENR01204,2024-01-29,2024-04-18,2024-03-31,Completed,100,2024-03-31,78.13,1,2,Yes,62,-18,Sunita Gupta,sunita.gupta.267@outlook.com,9653074505,Chennai,2022-10-15,Premium,Transformer Models & LLMs,AI & ML,INS008,Kavita Reddy,40,Advanced,12938,840,Disengaged
CRS026,LRN0218,ENR00584,2024-02-03,2024-02-13,,Not Started,0,,,1,,No,,,Shalini Sharma,shalini.sharma.218@yahoo.com,9127706324,Bhopal,2022-10-08,Free,Full Stack Django,Web Development,INS008,Kavita Reddy,5,Advanced,10918,,Disengaged
